0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0277133,0.00110731,0.0336516
0123_C.wartmanii_Constance_123460,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0289391,6.52915e-05,0.0360366
0123_C.wartmanii_Constance_123460,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0362178,1.53178e-06,0.0457642
0123_C.wartmanii_Constance_123460,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0373243,3.12103e-06,0.0461116
0123_C.wartmanii_Constance_123460,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0371853,1.48018e-06,0.0455846
0123_C.wartmanii_Constance_123460,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0297762,0.000174144,0.0363288
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0148166,0.0129907,0.0180879
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0108474,0.062593,0.0136698
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.01379,0.02647,0.0170355
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,058_C.steinmanni_Thun_123277,0.0347023,5.11783e-06,0.0413958
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0166232,0.0211658,0.020057
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0146746,0.03406,0.0176104
0123_C.wartmanii_Constance_123460,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0122835,0.0668785,0.0146746
0126_C.arenicolus_Constance_123462,012_C.acrinasus_Thun_123125,014_C.acrinasus_Thun_123203,0.00776691,0.174268,0.0131571
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0489862,6.68243e-12,0.0572902
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0544198,5.55112e-15,0.0648716
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0497334,4.78639e-12,0.0588734
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0521443,7.53171e-11,0.0602282
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0546271,5.65425e-12,0.0624762
0126_C.arenicolus_Constance_123462,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0513911,1.03954e-10,0.0585255
0127_C.arenicolus_Constance_123463,012_C.acrinasus_Thun_123125,014_C.acrinasus_Thun_123203,0.0127905,0.0563288,0.0216127
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.05003,1.94322e-12,0.0588194
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0536327,2.9976e-14,0.064397
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0463368,1.82082e-10,0.055314
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.051337,5.72877e-11,0.0598035
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0432949,6.04952e-08,0.0505102
0127_C.arenicolus_Constance_123463,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0512083,1.37152e-10,0.0587059
0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0493101,8.50431e-13,0.0580251
0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0526175,1.93179e-13,0.0634662
