Indiv,Spp_thesis,Spp_mod,Lake,fishec_ID,Ecomorph_thesis,ecomorph_mod,standard_length,gill_raker_count,weird,syst_col,lake_col,sex
907,C. maraenoides ,C.maraeonoides,Schaalsee,GM21A,Albeli,albeli,missing,missing,no,black,black,missing
908,C. maraenoides ,C.maraeonoides,Schaalsee,GM22A,Albeli,albeli,missing,missing,no,black,black,missing
909,C. lavaretus,C.lavaretus,Muddus,ML1,-,none,missing,missing,no,black,black,missing
910,C. lavaretus,C.lavaretus,Muddus,ML2,-,none,missing,missing,no,black,black,missing
121,C. wartmanii,C.wartmanii,Constance,123454,Large Pelagic,large_pelagic,288,36 ,no,yellow,goldenrod,f
122,C. wartmanii,C.wartmanii,Constance,123455,Large Pelagic,large_pelagic,285,37 ,no,yellow,goldenrod,f
123,C. wartmanii,C.wartmanii,Constance,123460,Large Pelagic,large_pelagic,277.5,36 ,no,yellow,goldenrod,f
126,C. arenicolus,C.arenicolus,Constance,123462,Balchen,balchen,325.5,30 ,no,yellow,goldenrod,f
127,C. arenicolus,C.arenicolus,Constance,123463,Balchen,balchen,315,26 ,no,yellow,goldenrod,f
128,C. arenicolus,C.arenicolus,Constance,123475,Balchen,balchen,307.5,33 ,no,yellow,goldenrod,f
129,C. alpinus,C.alpinus,Thun,123148,Balchen,balchen,249,26,yes,green,chartreuse4,m
131,C. wartmanii,C.wartmanii,Constance,123457,Large Pelagic,large_pelagic,263,37,no,yellow,goldenrod,f
132,C. macrophthalmus,C.macrophthalmus,Constance,123471,Felchen,felchen,257,36,no,yellow,goldenrod,f
999,C. steinmanni,C.steinmanni,Thun,124422,Balchen,balchen,missing,32,no,green,chartreuse4,f
123458,C. macrophthalmus,C.macrophthalmus,Constance,123458,Felchen,felchen,262,39,no,yellow,goldenrod,m
123470,C. macrophthalmus,C.macrophthalmus,Constance,123470,Felchen,felchen,210,36,no,yellow,goldenrod,f
